T,Rw,Tb3Ni_Ni1_Biso,Tb3Ni_Tb1_Biso,Tb3Ni_Tb2_Biso,Tb3Ni_a,Tb3Ni_b,Tb3Ni_c,Tb3Ni_delta2,Tb3Ni_scale,ordscale,parascale,xi
50,0.315,0.323,0.67,0.154,7.028,9.476,6.357,4.284,6.281,0.065,0.75,6.923
58,0.294,0.323,0.67,0.154,10.668,9.37,6.357,63.288,6.281,0.057,0.786,4.503
65,0.304,0.323,0.67,0.154,6.473,9.532,6.357,10.418,6.281,0.053,0.849,3.503
70,0.309,0.323,0.67,0.154,6.486,9.573,6.357,7.745,6.281,0.05,0.87,3.29
85,0.32,0.323,0.67,0.154,7.059,9.553,6.357,4.909,6.281,0.045,0.926,2.871
110,0.346,0.323,0.67,0.154,6.885,9.536,6.357,7.219,6.281,0.044,0.946,2.323
150,0.396,0.323,0.67,0.154,1.0,8.885,6.357,49.635,6.281,0.064,0.926,1.514
300,0.651,0.323,0.67,0.154,14.469,18.849,6.357,0.999,6.281,0.55,0.541,0.558
